Event Name Clean,Date,Start Time,End Time,Day of Week,Month,Month Number,Season,Week of Year,Is Weekend,Start Hour,Time of Day,Duration (hours),Duration Category,Artists,Number of Artists,Has Artists,Venue,Venue Clean,Is TBA Venue,Number of guests attending,Attendance Category,Has Attendance Data,Genres,Primary Genre,Number of Genres,Genre IDs,Event URL,Promoter/Series,Is Cancelled
VANTEK PRESENTS: COUNTDOWN 2025,2024-12-31,2024-12-31 22:00:00,2025-01-01 22:00:00,Tuesday,December,12,Winter,1,False,22,Late Night (10pm-6am),24.0,Long (6+ hrs),"POPU, B3RRI, Cataria, Goa Pete, Angel Science, Behrad Tehrani, Fizch, Lerma, Max Ulis, DJ dood, Syd Woz, Dairy Free, dj direct depøsit, Mario DV, Sotto Voce, Shades of Day, dj_2button",17,True,Industrial 236,Industrial 236,False,1084,Very Large (300+),True,Techno,Techno,1,5,/events/2032791,VANTEK PRESENTS,False
New Years Day,2025-01-01,2025-01-01 12:00:00,2025-01-01 19:00:00,Wednesday,January,1,Winter,1,False,12,Afternoon (12pm-5pm),7.0,Long (6+ hrs),"Kon Radd, Ricco (CAN), Kevin Shiu, Senior Citizenz",4,True,TBA -  Container Brewing,Container Brewing,True,74,Medium (50-150),True,"House, Deep House",House,2,"6, 20",/events/2063123,Other,False
Gorg-O-Mish Presents: NYE 2024,2025-01-01,2025-01-01 01:00:00,2025-01-02 09:00:00,Wednesday,January,1,Winter,1,False,1,Late Night (10pm-6am),32.0,Long (6+ hrs),"TASHI, Shades of Day",2,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2069930,Gorg-O-Mish Presents,False
Super Awesome New Year's Party,2025-01-03,2025-01-03 21:00:00,2025-01-04 02:00:00,Friday,January,1,Winter,1,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),alecks,1,True,Calabash Bistro,Calabash Bistro,False,107,Medium (50-150),True,"Garage, Electronica",Garage,2,"13, 75",/events/2049889,Other,False
VANTEK PRESENTS: Kasey Riot (Special Goodbye Set),2025-01-04,2025-01-04 23:00:00,2025-01-05 06:00:00,Saturday,January,1,Winter,1,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Kasey Riot, NIMAHA",2,True,Vantek Warehouse,Vantek Warehouse,False,394,Very Large (300+),True,Techno,Techno,1,5,/events/2064393,VANTEK PRESENTS,False
LIGHTA! SOUND,2025-01-04,2025-01-04 21:00:00,2025-01-05 04:00:00,Saturday,January,1,Winter,1,True,21,Evening (5pm-10pm),7.0,Long (6+ hrs),"The Librarian (CA), Michael Red, Tank Gyal, Self Evident, Taal Mala, Max Ulis, Patrik Cure, Daega Sound",8,True,Industrial 236,Industrial 236,False,579,Very Large (300+),True,"Bass, Dancehall",Bass,2,"12, 40",/events/2051616,Other,False
W.O.L.F,2025-01-04,2025-01-04 23:00:00,2025-01-05 06:00:00,Saturday,January,1,Winter,1,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Wolf, W.O.L.F.",2,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,88,Medium (50-150),True,"House, Tech House",House,2,"6, 15",/events/2071613,Other,False
Liminal Space Ep.10,2025-01-04,2025-01-04 16:00:00,2025-01-04 18:00:00,Saturday,January,1,Winter,1,True,16,Afternoon (12pm-5pm),2.0,Short (< 3 hrs),"DJ Hockey, Bronsön",2,True,TBA - Bside Radio,Bside Radio,True,6,Small (0-50),True,Techno,Techno,1,5,/events/2071276,Other,False
Gorg-O-Mish Presents: Mattemüs & MKAY,2025-01-04,2025-01-04 02:00:00,2025-01-05 08:00:00,Saturday,January,1,Winter,1,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),Mkay,1,True,Gorg-O-Mish,Gorg-O-Mish,False,1,Small (0-50),True,"Techno, Minimal",Techno,2,"5, 18",/events/2073200,Gorg-O-Mish Presents,False
Synesthesia #11,2025-01-04,2025-01-04 18:00:00,2025-01-04 20:00:00,Saturday,January,1,Winter,1,True,18,Evening (5pm-10pm),2.0,Short (< 3 hrs),The Ryze,1,True,The Beaumont Studios,The Beaumont Studios,False,0,No data,False,"House, Experimental",House,2,"6, 25",/events/2071786,Other,False
